Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Выборгский;Светлановский пр.;121;1;А;Студия Н;51,91;23;5813000;;
﻿Выборгский;Тореза пр.;118;;;Студия Н;52;;5840000;Озерки;https://www.emls.ru/fullinfo/4/706816576.html
Выборгский;Тореза пр.;118;;;Студия Н;52;;5978000;Озерки;https://www.emls.ru/fullinfo/4/706822734.html
Выборгский;Тореза пр.;118;;;Студия Н;52;;6373000;Озерки;https://www.emls.ru/fullinfo/4/706823022.html
Выборгский;Тореза пр.;118;;;Студия Н;52,22;22;7049000;Озерки;
Выборгский;Зеленогорская ул.;13;;;Студия Н;52,24;;5100000;Пионерская;https://www.emls.ru/fullinfo/4/308329.html
Выборгский;Тореза пр.;118;;;Студия Н;52,32;18;7063000;Озерки;
Выборгский;Ярославский пр.;27;;;Студия Н;52,5;;8036000;Удельная;https://www.emls.ru/fullinfo/4/332608.html
Выборгский;Ярославский пр.;27;;;Студия Н;52,5;2;8200000;Удельная;
Выборгский;Тореза пр.;118;;;Студия Н;52,71;19;6878000;Озерки;
Выборгский;Ярославский пр.;27;;;Студия Н;52,8;8;9200000;Удельная;
﻿Выборгский;Прокофьева ул.;7;2;;Студия Н;53,2;;4256000;;https://www.emls.ru/fullinfo/4/332869.html
Выборгский;Грибалевой ул.;9;;;Студия Н;53,23;3;8447000;Лесная;
Выборгский;Крапивный пер.;4А;;;Студия Н;53,5;5;9732000;Выборгская;
Выборгский;Грибалевой ул.;9;;;Студия Н;53,92;2;8028000;Лесная;
Выборгский;Заречная ул.;10;;;Студия Н;54,1;19;5831000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;54,2;18;5831000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;54,3;15;5831000;Парнас;
Выборгский;Светлановский пр.;121;1;А;Студия Н;54,34;11;5977000;;
Выборгский;Заречная ул.;10;;;Студия Н;54,4;20;5831000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;54,5;21;5831000;Парнас;
﻿Выборгский;Заречная ул.;10;;;Студия Н;54,6;23;6122000;Парнас;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,6;8;11577000;Выборгская;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,6;8;12262000;Выборгская;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,7;7;9828000;Выборгская;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,7;7;11323000;Выборгская;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,8;6;10313000;Выборгская;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,8;6;11000000;Выборгская;
Выборгский;Заречная ул.;10;;;Студия Н;54,9;15;5890000;Парнас;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,9;5;10125000;Выборгская;
Выборгский;Крапивный пер.;4А;;;Студия Н;54,9;5;10814000;Выборгская;
﻿Выборгский;Тихоокеанская ул.;10;1;;Студия Н;55;;3550000;Озерки;https://www.emls.ru/fullinfo/4/314222.html
Выборгский;Заречная ул.;10;;;Студия Н;55;3;5900000;Парнас;
Выборгский;Крапивный пер.;4А;;;Студия Н;55;4;9936000;Выборгская;
Выборгский;Крапивный пер.;4А;;;Студия Н;55;4;10557000;Выборгская;
Выборгский;Заречная ул.;10;;;Студия Н;55,1;18;5900000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;55,2;23;6216000;Парнас;
Выборгский;Заречная ул.;10;;;Студия Н;55,3;20;5920000;Парнас;
Выборгский;Архитектора Белова ул.;5;1;;Студия Н;55,36;24;5591000;Парнас;
Выборгский;Тихоокеанская ул.;14;1;;Студия Н;55,5;;3600000;Озерки;https://www.emls.ru/fullinfo/4/706819736.html
Выборгский;Заречная ул.;10;;;Студия Н;55,5;22;5950000;Парнас;
﻿Выборгский;Грибалевой ул.;9;;;Студия Н;55,74;3;8795000;Лесная;
Выборгский;Крапивный пер.;4А;;;Студия Н;55,9;3;10029000;Выборгская;
