Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Выборгский;Тихоокеанская ул.;1;1;;Студия;24,5;3;2380000;Озерки;https://www.emls.ru/fullinfo/1/706568573.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;35,7;1;2450000;Озерки;https://www.emls.ru/fullinfo/4/303550.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;35;1;2456000;Озерки;https://www.emls.ru/fullinfo/1/1449149.html
﻿Выборгский;Тихоокеанская ул.;1;1;;Студия;35,7;1;2480000;Озерки;https://www.emls.ru/fullinfo/1/1466008.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;32,6;1;2512000;Озерки;https://www.emls.ru/fullinfo/1/1407413.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;33,1;1;2542000;Озерки;https://www.emls.ru/fullinfo/1/1407420.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;33;1;2542000;Озерки;https://www.emls.ru/fullinfo/1/1407415.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;33,3;1;2564000;Озерки;https://www.emls.ru/fullinfo/1/1407411.html
Выборгский;Луначарского пр.;56;3;;Студия;25;1;2700000;;https://www.emls.ru/fullinfo/1/1461071.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;40,5;1;2730000;Озерки;https://www.emls.ru/fullinfo/4/303551.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;41;1;2756000;Озерки;https://www.emls.ru/fullinfo/1/1449150.html
